"","State","Year","Event","Value"
"482","NM",1959,"Fatalities",0
"483","NV",1959,"Fatalities",0
"484","NY",1959,"Fatalities",0
"485","OH",1959,"Fatalities",0
"486","OK",1959,"Fatalities",7
"487","OR",1959,"Fatalities",NA
"488","PA",1959,"Fatalities",0
"489","RI",1959,"Fatalities",0
"490","SC",1959,"Fatalities",0
"491","SD",1959,"Fatalities",0
"492","TN",1959,"Fatalities",0
"493","TX",1959,"Fatalities",6
"494","UT",1959,"Fatalities",0
"495","VA",1959,"Fatalities",12
"496","VT",1959,"Fatalities",0
"497","WA",1959,"Fatalities",NA
"498","WI",1959,"Fatalities",0
"499","WV",1959,"Fatalities",0
"500","WY",1959,"Fatalities",1
"501","AK",1960,"Fatalities",NA
"502","AL",1960,"Fatalities",0
"503","AR",1960,"Fatalities",1
"504","AZ",1960,"Fatalities",0
"505","CA",1960,"Fatalities",0
"506","CO",1960,"Fatalities",2
"507","CT",1960,"Fatalities",0
"508","DE",1960,"Fatalities",0
"509","FL",1960,"Fatalities",1
"510","GA",1960,"Fatalities",0
"511","HI",1960,"Fatalities",NA
"512","IA",1960,"Fatalities",1
"513","ID",1960,"Fatalities",0
"514","IL",1960,"Fatalities",0
"515","IN",1960,"Fatalities",0
"516","KS",1960,"Fatalities",1
"517","KY",1960,"Fatalities",0
"518","LA",1960,"Fatalities",0
"519","MA",1960,"Fatalities",0
"520","MD",1960,"Fatalities",0
"521","ME",1960,"Fatalities",0
"522","MI",1960,"Fatalities",0
"523","MN",1960,"Fatalities",0
"524","MO",1960,"Fatalities",0
"525","MS",1960,"Fatalities",0
"526","MT",1960,"Fatalities",0
"527","NC",1960,"Fatalities",0
"528","ND",1960,"Fatalities",0
"529","NE",1960,"Fatalities",2
"530","NH",1960,"Fatalities",0
"531","NJ",1960,"Fatalities",0
"532","NM",1960,"Fatalities",0
"533","NV",1960,"Fatalities",NA
"534","NY",1960,"Fatalities",0
"535","OH",1960,"Fatalities",0
"536","OK",1960,"Fatalities",35
"537","OR",1960,"Fatalities",0
"538","PA",1960,"Fatalities",0
"539","RI",1960,"Fatalities",NA
"540","SC",1960,"Fatalities",0
"541","SD",1960,"Fatalities",0
"542","TN",1960,"Fatalities",0
"543","TX",1960,"Fatalities",3
"544","UT",1960,"Fatalities",0
"545","VA",1960,"Fatalities",0
"546","VT",1960,"Fatalities",0
"547","WA",1960,"Fatalities",NA
"548","WI",1960,"Fatalities",0
"549","WV",1960,"Fatalities",0
"550","WY",1960,"Fatalities",0
"551","AK",1961,"Fatalities",NA
"552","AL",1961,"Fatalities",0
"553","AR",1961,"Fatalities",7
"554","AZ",1961,"Fatalities",0
"555","CA",1961,"Fatalities",0
"556","CO",1961,"Fatalities",0
"557","CT",1961,"Fatalities",0
"558","DE",1961,"Fatalities",0
"559","FL",1961,"Fatalities",0
"560","GA",1961,"Fatalities",1
"561","HI",1961,"Fatalities",NA
"562","IA",1961,"Fatalities",1
"563","ID",1961,"Fatalities",0
"564","IL",1961,"Fatalities",2
"565","IN",1961,"Fatalities",1
"566","KS",1961,"Fatalities",0
"567","KY",1961,"Fatalities",1
"568","LA",1961,"Fatalities",6
"569","MA",1961,"Fatalities",0
"570","MD",1961,"Fatalities",0
"571","ME",1961,"Fatalities",0
"572","MI",1961,"Fatalities",0
"573","MN",1961,"Fatalities",0
"574","MO",1961,"Fatalities",1
"575","MS",1961,"Fatalities",0
"576","MT",1961,"Fatalities",0
"577","NC",1961,"Fatalities",0
"578","ND",1961,"Fatalities",0
"579","NE",1961,"Fatalities",0
"580","NH",1961,"Fatalities",0
"581","NJ",1961,"Fatalities",0
"582","NM",1961,"Fatalities",0
"583","NV",1961,"Fatalities",0
"584","NY",1961,"Fatalities",0
"585","OH",1961,"Fatalities",2
"586","OK",1961,"Fatalities",17
"587","OR",1961,"Fatalities",0
"588","PA",1961,"Fatalities",0
"589","RI",1961,"Fatalities",0
"590","SC",1961,"Fatalities",1
"591","SD",1961,"Fatalities",1
"592","TN",1961,"Fatalities",0
"593","TX",1961,"Fatalities",11
"594","UT",1961,"Fatalities",0
"595","VA",1961,"Fatalities",0
"596","VT",1961,"Fatalities",0
"597","WA",1961,"Fatalities",0
"598","WI",1961,"Fatalities",0
"599","WV",1961,"Fatalities",0
"600","WY",1961,"Fatalities",0
"601","AK",1962,"Fatalities",NA
"602","AL",1962,"Fatalities",0
"603","AR",1962,"Fatalities",0
"604","AZ",1962,"Fatalities",0
"605","CA",1962,"Fatalities",0
"606","CO",1962,"Fatalities",0
"607","CT",1962,"Fatalities",1
"608","DE",1962,"Fatalities",0
"609","FL",1962,"Fatalities",18
"610","GA",1962,"Fatalities",0
"611","HI",1962,"Fatalities",NA
"612","IA",1962,"Fatalities",1
"613","ID",1962,"Fatalities",0
"614","IL",1962,"Fatalities",0
"615","IN",1962,"Fatalities",0
"616","KS",1962,"Fatalities",0
"617","KY",1962,"Fatalities",0
"618","LA",1962,"Fatalities",2
"619","MA",1962,"Fatalities",0
"620","MD",1962,"Fatalities",0
"621","ME",1962,"Fatalities",0
"622","MI",1962,"Fatalities",0
"623","MN",1962,"Fatalities",0
"624","MO",1962,"Fatalities",0
"625","MS",1962,"Fatalities",1
"626","MT",1962,"Fatalities",0
"627","NC",1962,"Fatalities",0
"628","ND",1962,"Fatalities",0
"629","NE",1962,"Fatalities",0
